Model: GOKU - pendulum created with 505764 parameters.
[Epoch 457/1600]  loss = 0.7037
[Epoch 458/1600]  loss = 0.6742
[Epoch 459/1600]  loss = 0.8488
[Epoch 460/1600]  loss = 1.0981
[Epoch 461/1600]  loss = 0.8217
[Epoch 462/1600]  loss = 0.6416
[Epoch 463/1600]  loss = 0.8380
[Epoch 464/1600]  loss = 0.6830
[Epoch 465/1600]  loss = 0.7703
[Epoch 466/1600]  loss = 0.6539
[Epoch 467/1600]  loss = 0.5649
[Epoch 468/1600]  loss = 0.5117
[Epoch 469/1600]  loss = 0.4859
[Epoch 470/1600]  loss = 0.5150
[Epoch 471/1600]  loss = 0.4749
[Epoch 472/1600]  loss = 0.5031
[Epoch 473/1600]  loss = 0.6266
[Epoch 474/1600]  loss = 0.7439
[Epoch 475/1600]  loss = 0.5947
[Epoch 476/1600]  loss = 0.5716
[Epoch 477/1600]  loss = 0.6145
[Epoch 478/1600]  loss = 0.6105
[Epoch 479/1600]  loss = 0.5353
[Epoch 480/1600]  loss = 0.6274
[Epoch 481/1600]  loss = 0.4336
[Epoch 482/1600]  loss = 0.4952
[Epoch 483/1600]  loss = 0.4778
[Epoch 484/1600]  loss = 0.4588
[Epoch 485/1600]  loss = 0.5468
[Epoch 486/1600]  loss = 0.4588
[Epoch 487/1600]  loss = 0.5170
[Epoch 488/1600]  loss = 0.6361
[Epoch 489/1600]  loss = 0.7041
[Epoch 490/1600]  loss = 1.0635
[Epoch 491/1600]  loss = 1.0688
[Epoch 492/1600]  loss = 0.7492
[Epoch 493/1600]  loss = 0.6275
[Epoch 494/1600]  loss = 0.5515
[Epoch 495/1600]  loss = 0.6309
[Epoch 496/1600]  loss = 0.6239
[Epoch 497/1600]  loss = 0.6887
[Epoch 498/1600]  loss = 1.2459
[Epoch 499/1600]  loss = 0.7862
[Epoch 500/1600]  loss = 0.8047
[Epoch 501/1600]  loss = 0.8397
[Epoch 502/1600]  loss = 0.9845
[Epoch 503/1600]  loss = 0.9173
[Epoch 504/1600]  loss = 0.6506
[Epoch 505/1600]  loss = 0.6695
[Epoch 506/1600]  loss = 0.6770
[Epoch 507/1600]  loss = 0.7343
[Epoch 508/1600]  loss = 0.5221
